alias_id,registry_id,municipality_id,source_basis,alias_type,alias_value,language,is_primary,confidence,source
ALIAS-MUN-DGLAC-63052-001,MUN-DGLAC-63052,63052,dglac_official_directory,dglac_raw_en,حوبش,en,false,medium,dglac
ALIAS-MUN-DGLAC-63052-002,MUN-DGLAC-63052,63052,dglac_official_directory,primary_ar,حوبش,ar,true,high,registry
ALIAS-MUN-DGLAC-63052-003,MUN-DGLAC-63052,63052,dglac_official_directory,slug,حوبش,en,false,high,registry
ALIAS-MUN-DGLAC-54435-001,MUN-DGLAC-54435,54435,dglac_official_directory,primary_en,Ad Daghlah,en,true,high,registry
ALIAS-MUN-DGLAC-54435-002,MUN-DGLAC-54435,54435,dglac_official_directory,normalized_en,ad-daghlah,en,false,high,registry
ALIAS-MUN-DGLAC-54435-003,MUN-DGLAC-54435,54435,dglac_official_directory,primary_ar,الدغلة,ar,true,high,registry
ALIAS-MUN-DGLAC-54435-004,MUN-DGLAC-54435,54435,dglac_official_directory,slug,ad_daghlah,en,false,high,registry
ALIAS-MUN-DGLAC-53868-001,MUN-DGLAC-53868,53868,dglac_official_directory,primary_en,Aidmoon-Shekhlar,en,true,high,registry
ALIAS-MUN-DGLAC-53868-002,MUN-DGLAC-53868,53868,dglac_official_directory,normalized_en,aidmoon shekhlar,en,false,high,registry
ALIAS-MUN-DGLAC-53868-003,MUN-DGLAC-53868,53868,dglac_official_directory,primary_ar,عيدمون-شيخلار,ar,true,high,registry
ALIAS-MUN-DGLAC-53868-004,MUN-DGLAC-53868,53868,dglac_official_directory,slug,aidmoon_shekhlar,en,false,high,registry
ALIAS-MUN-DGLAC-54111-001,MUN-DGLAC-54111,54111,dglac_official_directory,primary_en,Ain Yaaqub,en,true,high,registry
ALIAS-MUN-DGLAC-54111-002,MUN-DGLAC-54111,54111,dglac_official_directory,normalized_en,ain-yaaqub,en,false,high,registry
ALIAS-MUN-DGLAC-54111-003,MUN-DGLAC-54111,54111,dglac_official_directory,primary_ar,عين يعقوب,ar,true,high,registry
ALIAS-MUN-DGLAC-54111-004,MUN-DGLAC-54111,54111,dglac_official_directory,slug,ain_yaaqub,en,false,high,registry
ALIAS-MUN-DGLAC-54057-001,MUN-DGLAC-54057,54057,dglac_official_directory,primary_en,Ain al-Dhahab,en,true,high,registry
ALIAS-MUN-DGLAC-54057-002,MUN-DGLAC-54057,54057,dglac_official_directory,normalized_en,ain al dhahab,en,false,high,registry
ALIAS-MUN-DGLAC-54057-003,MUN-DGLAC-54057,54057,dglac_official_directory,normalized_en,ain-al-dhahab,en,false,high,registry
ALIAS-MUN-DGLAC-54057-004,MUN-DGLAC-54057,54057,dglac_official_directory,primary_ar,عين الذهب,ar,true,high,registry
ALIAS-MUN-DGLAC-54057-005,MUN-DGLAC-54057,54057,dglac_official_directory,slug,ain_al_dhahab,en,false,high,registry
ALIAS-MUN-DGLAC-54084-001,MUN-DGLAC-54084,54084,dglac_official_directory,primary_en,Ain al-Zayt,en,true,high,registry
ALIAS-MUN-DGLAC-54084-002,MUN-DGLAC-54084,54084,dglac_official_directory,normalized_en,ain al zayt,en,false,high,registry
ALIAS-MUN-DGLAC-54084-003,MUN-DGLAC-54084,54084,dglac_official_directory,normalized_en,ain-al-zayt,en,false,high,registry
ALIAS-MUN-DGLAC-54084-004,MUN-DGLAC-54084,54084,dglac_official_directory,primary_ar,عين الزيت,ar,true,high,registry
ALIAS-MUN-DGLAC-54084-005,MUN-DGLAC-54084,54084,dglac_official_directory,slug,ain_al_zayt,en,false,high,registry
ALIAS-MUN-DGLAC-53841-001,MUN-DGLAC-53841,53841,dglac_official_directory,primary_en,Akkar el-Atiqa,en,true,high,registry
ALIAS-MUN-DGLAC-53841-002,MUN-DGLAC-53841,53841,dglac_official_directory,normalized_en,akkar el atiqa,en,false,high,registry
ALIAS-MUN-DGLAC-53841-003,MUN-DGLAC-53841,53841,dglac_official_directory,normalized_en,akkar-el-atiqa,en,false,high,registry
ALIAS-MUN-DGLAC-53841-004,MUN-DGLAC-53841,53841,dglac_official_directory,primary_ar,عكار العتيقة,ar,true,high,registry
ALIAS-MUN-DGLAC-53841-005,MUN-DGLAC-53841,53841,dglac_official_directory,slug,akkar_el_atiqa,en,false,high,registry
ALIAS-MUN-DGLAC-54381-001,MUN-DGLAC-54381,54381,dglac_official_directory,primary_en,Akroum,en,true,high,registry
ALIAS-MUN-DGLAC-54381-002,MUN-DGLAC-54381,54381,dglac_official_directory,primary_ar,اكروم,ar,true,high,registry
ALIAS-MUN-DGLAC-54381-003,MUN-DGLAC-54381,54381,dglac_official_directory,slug,akroum,en,false,high,registry
ALIAS-MUN-DGLAC-54471-001,MUN-DGLAC-54471,54471,dglac_official_directory,primary_en,Al Aamair w Rajm Issa,en,true,high,registry
ALIAS-MUN-DGLAC-54471-002,MUN-DGLAC-54471,54471,dglac_official_directory,normalized_en,aamair w rajm issa,en,false,high,registry
ALIAS-MUN-DGLAC-54471-003,MUN-DGLAC-54471,54471,dglac_official_directory,normalized_en,al-aamair-w-rajm-issa,en,false,high,registry
ALIAS-MUN-DGLAC-54471-004,MUN-DGLAC-54471,54471,dglac_official_directory,no_article_en,Aamair w Rajm Issa,en,false,high,registry
ALIAS-MUN-DGLAC-54471-005,MUN-DGLAC-54471,54471,dglac_official_directory,primary_ar,العماير ورجم عيسى,ar,true,high,registry
ALIAS-MUN-DGLAC-54471-006,MUN-DGLAC-54471,54471,dglac_official_directory,moim_2025_ar,رجم عيسى,ar,false,medium,moim_2025
ALIAS-MUN-DGLAC-54471-007,MUN-DGLAC-54471,54471,dglac_official_directory,moim_2025_ar,العماير,ar,false,medium,moim_2025
ALIAS-MUN-DGLAC-54471-008,MUN-DGLAC-54471,54471,dglac_official_directory,slug,al_aamair_w_rajm_issa,en,false,high,registry
ALIAS-MUN-DGLAC-53832-001,MUN-DGLAC-53832,53832,dglac_official_directory,primary_en,Al Aboudiyeh,en,true,high,registry
ALIAS-MUN-DGLAC-53832-002,MUN-DGLAC-53832,53832,dglac_official_directory,normalized_en,aboudiyeh,en,false,high,registry
ALIAS-MUN-DGLAC-53832-003,MUN-DGLAC-53832,53832,dglac_official_directory,normalized_en,al-aboudiyeh,en,false,high,registry
ALIAS-MUN-DGLAC-53832-004,MUN-DGLAC-53832,53832,dglac_official_directory,no_article_en,Aboudiyeh,en,false,high,registry
ALIAS-MUN-DGLAC-53832-005,MUN-DGLAC-53832,53832,dglac_official_directory,primary_ar,العبودية,ar,true,high,registry
ALIAS-MUN-DGLAC-53832-006,MUN-DGLAC-53832,53832,dglac_official_directory,slug,al_aboudiyeh,en,false,high,registry
ALIAS-MUN-DGLAC-54039-001,MUN-DGLAC-54039,54039,dglac_official_directory,primary_en,Al Awainat,en,true,high,registry
ALIAS-MUN-DGLAC-54039-002,MUN-DGLAC-54039,54039,dglac_official_directory,normalized_en,awainat,en,false,high,registry
ALIAS-MUN-DGLAC-54039-003,MUN-DGLAC-54039,54039,dglac_official_directory,normalized_en,al-awainat,en,false,high,registry
ALIAS-MUN-DGLAC-54039-004,MUN-DGLAC-54039,54039,dglac_official_directory,no_article_en,Awainat,en,false,high,registry
ALIAS-MUN-DGLAC-54039-005,MUN-DGLAC-54039,54039,dglac_official_directory,primary_ar,العوينات,ar,true,high,registry
ALIAS-MUN-DGLAC-54039-006,MUN-DGLAC-54039,54039,dglac_official_directory,slug,al_awainat,en,false,high,registry
ALIAS-MUN-DGLAC-53580-001,MUN-DGLAC-53580,53580,dglac_official_directory,primary_en,Al Bireh,en,true,high,registry
ALIAS-MUN-DGLAC-53580-002,MUN-DGLAC-53580,53580,dglac_official_directory,normalized_en,bireh,en,false,high,registry
ALIAS-MUN-DGLAC-53580-003,MUN-DGLAC-53580,53580,dglac_official_directory,normalized_en,al-bireh,en,false,high,registry
ALIAS-MUN-DGLAC-53580-004,MUN-DGLAC-53580,53580,dglac_official_directory,no_article_en,Bireh,en,false,high,registry
ALIAS-MUN-DGLAC-53580-005,MUN-DGLAC-53580,53580,dglac_official_directory,primary_ar,البيره,ar,true,high,registry
ALIAS-MUN-DGLAC-53580-006,MUN-DGLAC-53580,53580,dglac_official_directory,slug,al_bireh,en,false,high,registry
ALIAS-MUN-DGLAC-53517-001,MUN-DGLAC-53517,53517,dglac_official_directory,primary_en,Al Burj,en,true,high,registry
ALIAS-MUN-DGLAC-53517-002,MUN-DGLAC-53517,53517,dglac_official_directory,normalized_en,burj,en,false,high,registry
ALIAS-MUN-DGLAC-53517-003,MUN-DGLAC-53517,53517,dglac_official_directory,normalized_en,al-burj,en,false,high,registry
ALIAS-MUN-DGLAC-53517-004,MUN-DGLAC-53517,53517,dglac_official_directory,no_article_en,Burj,en,false,high,registry
ALIAS-MUN-DGLAC-53517-005,MUN-DGLAC-53517,53517,dglac_official_directory,primary_ar,البرج,ar,true,high,registry
ALIAS-MUN-DGLAC-53517-006,MUN-DGLAC-53517,53517,dglac_official_directory,slug,al_burj,en,false,high,registry
ALIAS-MUN-DGLAC-54507-001,MUN-DGLAC-54507,54507,dglac_official_directory,primary_en,Al Farid,en,true,high,registry
ALIAS-MUN-DGLAC-54507-002,MUN-DGLAC-54507,54507,dglac_official_directory,normalized_en,farid,en,false,high,registry
ALIAS-MUN-DGLAC-54507-003,MUN-DGLAC-54507,54507,dglac_official_directory,normalized_en,al-farid,en,false,high,registry
ALIAS-MUN-DGLAC-54507-004,MUN-DGLAC-54507,54507,dglac_official_directory,no_article_en,Farid,en,false,high,registry
ALIAS-MUN-DGLAC-54507-005,MUN-DGLAC-54507,54507,dglac_official_directory,primary_ar,الفرض,ar,true,high,registry
ALIAS-MUN-DGLAC-54507-006,MUN-DGLAC-54507,54507,dglac_official_directory,slug,al_farid,en,false,high,registry
ALIAS-MUN-DGLAC-53670-001,MUN-DGLAC-53670,53670,dglac_official_directory,primary_en,Al Hakour,en,true,high,registry
ALIAS-MUN-DGLAC-53670-002,MUN-DGLAC-53670,53670,dglac_official_directory,normalized_en,hakour,en,false,high,registry
ALIAS-MUN-DGLAC-53670-003,MUN-DGLAC-53670,53670,dglac_official_directory,normalized_en,al-hakour,en,false,high,registry
ALIAS-MUN-DGLAC-53670-004,MUN-DGLAC-53670,53670,dglac_official_directory,no_article_en,Hakour,en,false,high,registry
ALIAS-MUN-DGLAC-53670-005,MUN-DGLAC-53670,53670,dglac_official_directory,primary_ar,الحاكور,ar,true,high,registry
ALIAS-MUN-DGLAC-53670-006,MUN-DGLAC-53670,53670,dglac_official_directory,slug,al_hakour,en,false,high,registry
ALIAS-MUN-DGLAC-54552-001,MUN-DGLAC-54552,54552,dglac_official_directory,primary_en,Al Hishah,en,true,high,registry
ALIAS-MUN-DGLAC-54552-002,MUN-DGLAC-54552,54552,dglac_official_directory,normalized_en,hishah,en,false,high,registry
ALIAS-MUN-DGLAC-54552-003,MUN-DGLAC-54552,54552,dglac_official_directory,normalized_en,al-hishah,en,false,high,registry
ALIAS-MUN-DGLAC-54552-004,MUN-DGLAC-54552,54552,dglac_official_directory,no_article_en,Hishah,en,false,high,registry
ALIAS-MUN-DGLAC-54552-005,MUN-DGLAC-54552,54552,dglac_official_directory,primary_ar,الهيشة,ar,true,high,registry
ALIAS-MUN-DGLAC-54552-006,MUN-DGLAC-54552,54552,dglac_official_directory,slug,al_hishah,en,false,high,registry
ALIAS-MUN-DGLAC-63305-001,MUN-DGLAC-63305,63305,dglac_official_directory,primary_en,Al Hissa,en,true,high,registry
ALIAS-MUN-DGLAC-63305-002,MUN-DGLAC-63305,63305,dglac_official_directory,normalized_en,hissa,en,false,high,registry
ALIAS-MUN-DGLAC-63305-003,MUN-DGLAC-63305,63305,dglac_official_directory,normalized_en,al-hissa,en,false,high,registry
ALIAS-MUN-DGLAC-63305-004,MUN-DGLAC-63305,63305,dglac_official_directory,no_article_en,Hissa,en,false,high,registry
ALIAS-MUN-DGLAC-63305-005,MUN-DGLAC-63305,63305,dglac_official_directory,primary_ar,الحيصا,ar,true,high,registry
ALIAS-MUN-DGLAC-63305-006,MUN-DGLAC-63305,63305,dglac_official_directory,slug,al_hissa,en,false,high,registry
ALIAS-MUN-DGLAC-53679-001,MUN-DGLAC-53679,53679,dglac_official_directory,primary_en,Al Hmayra,en,true,high,registry
ALIAS-MUN-DGLAC-53679-002,MUN-DGLAC-53679,53679,dglac_official_directory,normalized_en,hmayra,en,false,high,registry
ALIAS-MUN-DGLAC-53679-003,MUN-DGLAC-53679,53679,dglac_official_directory,normalized_en,al-hmayra,en,false,high,registry
ALIAS-MUN-DGLAC-53679-004,MUN-DGLAC-53679,53679,dglac_official_directory,no_article_en,Hmayra,en,false,high,registry
ALIAS-MUN-DGLAC-53679-005,MUN-DGLAC-53679,53679,dglac_official_directory,primary_ar,الحميرة,ar,true,high,registry
ALIAS-MUN-DGLAC-53679-006,MUN-DGLAC-53679,53679,dglac_official_directory,moim_2025_ar,الحميره,ar,false,medium,moim_2025
ALIAS-MUN-DGLAC-53679-007,MUN-DGLAC-53679,53679,dglac_official_directory,slug,al_hmayra,en,false,high,registry
ALIAS-MUN-DGLAC-54030-001,MUN-DGLAC-54030,54030,dglac_official_directory,primary_en,Al Kweikhat,en,true,high,registry
ALIAS-MUN-DGLAC-54030-002,MUN-DGLAC-54030,54030,dglac_official_directory,normalized_en,kweikhat,en,false,high,registry
ALIAS-MUN-DGLAC-54030-003,MUN-DGLAC-54030,54030,dglac_official_directory,normalized_en,al-kweikhat,en,false,high,registry
ALIAS-MUN-DGLAC-54030-004,MUN-DGLAC-54030,54030,dglac_official_directory,no_article_en,Kweikhat,en,false,high,registry
ALIAS-MUN-DGLAC-54030-005,MUN-DGLAC-54030,54030,dglac_official_directory,primary_ar,الكويخات,ar,true,high,registry
ALIAS-MUN-DGLAC-54030-006,MUN-DGLAC-54030,54030,dglac_official_directory,slug,al_kweikhat,en,false,high,registry
ALIAS-MUN-DGLAC-54444-001,MUN-DGLAC-54444,54444,dglac_official_directory,primary_en,Al Majdal,en,true,high,registry
ALIAS-MUN-DGLAC-54444-002,MUN-DGLAC-54444,54444,dglac_official_directory,normalized_en,majdal,en,false,high,registry
ALIAS-MUN-DGLAC-54444-003,MUN-DGLAC-54444,54444,dglac_official_directory,normalized_en,al-majdal,en,false,high,registry
ALIAS-MUN-DGLAC-54444-004,MUN-DGLAC-54444,54444,dglac_official_directory,no_article_en,Majdal,en,false,high,registry
ALIAS-MUN-DGLAC-54444-005,MUN-DGLAC-54444,54444,dglac_official_directory,primary_ar,المجدل,ar,true,high,registry
ALIAS-MUN-DGLAC-54444-006,MUN-DGLAC-54444,54444,dglac_official_directory,slug,al_majdal,en,false,high,registry
ALIAS-MUN-DGLAC-53994-001,MUN-DGLAC-53994,53994,dglac_official_directory,primary_en,Al Maqybleh,en,true,high,registry
ALIAS-MUN-DGLAC-53994-002,MUN-DGLAC-53994,53994,dglac_official_directory,normalized_en,maqybleh,en,false,high,registry
ALIAS-MUN-DGLAC-53994-003,MUN-DGLAC-53994,53994,dglac_official_directory,normalized_en,al-maqybleh,en,false,high,registry
ALIAS-MUN-DGLAC-53994-004,MUN-DGLAC-53994,53994,dglac_official_directory,no_article_en,Maqybleh,en,false,high,registry
ALIAS-MUN-DGLAC-53994-005,MUN-DGLAC-53994,53994,dglac_official_directory,primary_ar,المقيبلة,ar,true,high,registry
ALIAS-MUN-DGLAC-53994-006,MUN-DGLAC-53994,53994,dglac_official_directory,moim_2025_ar,المقيبله,ar,false,medium,moim_2025
ALIAS-MUN-DGLAC-53994-007,MUN-DGLAC-53994,53994,dglac_official_directory,slug,al_maqybleh,en,false,high,registry
ALIAS-MUN-DGLAC-53913-001,MUN-DGLAC-53913,53913,dglac_official_directory,primary_en,Al Qariyat,en,true,high,registry
ALIAS-MUN-DGLAC-53913-002,MUN-DGLAC-53913,53913,dglac_official_directory,normalized_en,qariyat,en,false,high,registry
ALIAS-MUN-DGLAC-53913-003,MUN-DGLAC-53913,53913,dglac_official_directory,normalized_en,al-qariyat,en,false,high,registry
ALIAS-MUN-DGLAC-53913-004,MUN-DGLAC-53913,53913,dglac_official_directory,no_article_en,Qariyat,en,false,high,registry
ALIAS-MUN-DGLAC-53913-005,MUN-DGLAC-53913,53913,dglac_official_directory,primary_ar,القريات,ar,true,high,registry
ALIAS-MUN-DGLAC-53913-006,MUN-DGLAC-53913,53913,dglac_official_directory,slug,al_qariyat,en,false,high,registry
ALIAS-MUN-DGLAC-53904-001,MUN-DGLAC-53904,53904,dglac_official_directory,primary_en,Al Qobeiyat,en,true,high,registry
ALIAS-MUN-DGLAC-53904-002,MUN-DGLAC-53904,53904,dglac_official_directory,normalized_en,qobeiyat,en,false,high,registry
ALIAS-MUN-DGLAC-53904-003,MUN-DGLAC-53904,53904,dglac_official_directory,normalized_en,al-qobeiyat,en,false,high,registry
ALIAS-MUN-DGLAC-53904-004,MUN-DGLAC-53904,53904,dglac_official_directory,no_article_en,Qobeiyat,en,false,high,registry
ALIAS-MUN-DGLAC-53904-005,MUN-DGLAC-53904,53904,dglac_official_directory,primary_ar,القبيات,ar,true,high,registry
ALIAS-MUN-DGLAC-53904-006,MUN-DGLAC-53904,53904,dglac_official_directory,slug,al_qobeiyat,en,false,high,registry
ALIAS-MUN-DGLAC-54480-001,MUN-DGLAC-54480,54480,dglac_official_directory,primary_en,Al Qurnah,en,true,high,registry
ALIAS-MUN-DGLAC-54480-002,MUN-DGLAC-54480,54480,dglac_official_directory,normalized_en,qurnah,en,false,high,registry
ALIAS-MUN-DGLAC-54480-003,MUN-DGLAC-54480,54480,dglac_official_directory,normalized_en,al-qurnah,en,false,high,registry
ALIAS-MUN-DGLAC-54480-004,MUN-DGLAC-54480,54480,dglac_official_directory,no_article_en,Qurnah,en,false,high,registry
ALIAS-MUN-DGLAC-54480-005,MUN-DGLAC-54480,54480,dglac_official_directory,primary_ar,القرنة,ar,true,high,registry
ALIAS-MUN-DGLAC-54480-006,MUN-DGLAC-54480,54480,dglac_official_directory,slug,al_qurnah,en,false,high,registry
ALIAS-MUN-DGLAC-53634-001,MUN-DGLAC-53634,53634,dglac_official_directory,primary_en,Al Talil,en,true,high,registry
ALIAS-MUN-DGLAC-53634-002,MUN-DGLAC-53634,53634,dglac_official_directory,normalized_en,talil,en,false,high,registry
ALIAS-MUN-DGLAC-53634-003,MUN-DGLAC-53634,53634,dglac_official_directory,normalized_en,al-talil,en,false,high,registry
ALIAS-MUN-DGLAC-53634-004,MUN-DGLAC-53634,53634,dglac_official_directory,no_article_en,Talil,en,false,high,registry
ALIAS-MUN-DGLAC-53634-005,MUN-DGLAC-53634,53634,dglac_official_directory,primary_ar,التليل,ar,true,high,registry
