research_rank,priority_score,municipality_id,name_en,name_ar,governorate_en,district_en,candidate_website,candidate_email,candidate_phone,source_confidence,official_website_status,complaint_form_status,promotion_rule
1,213,43597,Beirut,بيروت,Beirut,Beirut,,,(01)986001   (01)987979,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
3,207,59187,Sidon,صيدا,South,Saida,,,+9617720060,medium,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
4,190,51603,Jounieh,جونيه,Mount Lebanon,Kesrouane,http://www.jounieh.gov.lb/,,+961 9 913 000,medium,found_t1_discovery,needs_review,candidate_only_until_official_source_page_confirms_value
5,190,52449,Tripoli,طرابلس,North,Tripoli,,,(06)431001/9,high,found_t1_discovery,needs_review,candidate_only_until_official_source_page_confirms_value
6,182,53499,Halba,حلبا,Aakkar,Aakkar,,,+9616690025,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
7,182,58089,Baalbek,بعلبك,Baalbek-Hermel,Baalbek,https://baalbeck-municipality.org/,,+9618370214,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
8,182,50442,Bourj Hammoud,برج حمود,Mount Lebanon,Matn,,,(01)262806    (01)256404,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
9,182,50649,Dbayeh-Zouk El Khrab-Haret Blat-Aoukar,الضبيه-ذوق الخراب-حارة البلانة-عوكر,Mount Lebanon,Matn,,,+961 4 543 502;+961 4 541 301,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
12,182,50631,Sin el Fil,سن الفيل,Mount Lebanon,Matn,,,(01)511130,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
13,182,56820,Bint Jbeil,بنت جبيل,Nabatiye,Bint Jbeil,,,(07)450455    (03)984466,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
16,182,57504,Sour,صور,South,Sour,,,(07)740017   (07)742411   (03)238801,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
17,171,48015,Baabda and Louaize,بعبدا - اللويزة,Mount Lebanon,بعبدا,,,+9615920573,,not_found,needs_review,candidate_only_until_official_source_page_confirms_value
18,165,52089,Jbeil,جبيل,Mount Lebanon,Byblos,,,(09)546888,,found_t1_discovery,needs_review,candidate_only_until_official_source_page_confirms_value
19,162,55929,Talabayya,تعلبايا,Beqaa,Zahle,,,+9618505915;+9618505916;+9618505917,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
21,162,53418,Kousba,كوسبا,North,Koura,,,6511555.0,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
22,162,52878,Zgharta-Ehden,زغرتا-اهدن,North,Zgharta,http://www.zgharta.gov.lb/,letters@zgharta.gov.lb,+9616660248;+9616660249,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
23,162,58764,Jezzine - Ain Majdeline,جزين - عين مجدلين,South,Jezzine,,,3631638.0,,found_t1_discovery,not_found,candidate_only_until_official_source_page_confirms_value
25,93,53697,Khreibet ej Jindi,خريبة الجندي,Aakkar,عكار,,,6690533.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
28,93,56577,Blida,بليدا,Nabatiye,مرجعيون,,,3284009.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
29,93,56604,Beni Haiyane,بني حيان,Nabatiye,مرجعيون,,,3343195.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
30,93,56586,Touline,تولين,Nabatiye,مرجعيون,,,3414033.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
31,93,56460,Houla,حولا,Nabatiye,مرجعيون,,,(03)628186,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
32,93,56622,Deir Siriane,دير سريان,Nabatiye,مرجعيون,,,3361434.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
35,93,56631,Tallouse,طلوسه,Nabatiye,مرجعيون,,,3581011.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
38,93,56514,Qabrikha,قبريخا,Nabatiye,مرجعيون,,,(03)332263,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
39,93,56640,Qantara,قنطره,Nabatiye,مرجعيون,,,3210212.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
40,93,56541,Majdel Silim,مجدل سلم,Nabatiye,مرجعيون,,,70669152.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
41,93,56568,Markaba,مركبا,Nabatiye,مرجعيون,,,(03)206378,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
42,93,56550,Meiss ej Jabal,ميس الجبل,Nabatiye,مرجعيون,,,(03)926863,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
43,87,54435,Ad Daghlah,الدغلة,Aakkar,Aakkar,,,3150154.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
45,87,54057,Ain al-Dhahab,عين الذهب,Aakkar,Aakkar,,,6805661.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
47,87,54111,Ain Yaaqub,عين يعقوب,Aakkar,Aakkar,,,6360217.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
48,87,53841,Akkar el-Atiqa,عكار العتيقة,Aakkar,Aakkar,,,(06)885057,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
50,87,53832,Al Aboudiyeh,العبودية,Aakkar,Aakkar,,,6815190.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
51,87,54039,Al Awainat,العوينات,Aakkar,Aakkar,,,3257797.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
52,87,54318,Al-Ayoun,العيون,Aakkar,Aakkar,,,6361650.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
60,87,53679,Al Hmayra,الحميرة,Aakkar,Aakkar,,,6805477.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
61,87,54165,Al-Kwashra,الكواشرة,Aakkar,Aakkar,,,(06)693684,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
62,87,54030,Al Kweikhat,الكويخات,Aakkar,Aakkar,,,3691486.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
63,87,54201,Al-Mahmara,المحمرة,Aakkar,Aakkar,,,6471441.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
64,87,54444,Al Majdal,المجدل,Aakkar,Aakkar,,,9448878.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
65,87,54345,Al-Maqeeta,المقيطع,Aakkar,Aakkar,,,6875077.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
68,87,54246,Al-Qantara,القنطرة,Aakkar,Aakkar,,,6692345.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
69,87,53913,Al Qariyat,القريات,Aakkar,Aakkar,,,3635906.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
70,87,54192,Al-Qarqaf,القرقف,Aakkar,Aakkar,,,6370171.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
71,87,53904,Al Qobeiyat,القبيات,Aakkar,Aakkar,,,(06)350005,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
72,87,54480,Al Qurnah,القرنة,Aakkar,Aakkar,,,03/440629,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
73,87,54300,Al-Rihaneya,الريحانية,Aakkar,Aakkar,,,6845516.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
75,87,53634,Al Talil,التليل,Aakkar,Aakkar,,,(06)845500,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
76,87,54408,Ammar Al-Beykat,عمار البيكات,Aakkar,Aakkar,,,3892864.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
77,87,54012,An Nafiseh,النفيسة,Aakkar,Aakkar,,,(06)691344,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
79,87,53850,Andqet,عندقت,Aakkar,Aakkar,,,(06)880310,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
81,87,54462,Ash Shuqduf,الشقدوف,Aakkar,Aakkar,,,03/937010,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
82,87,54210,Ayun al-Ghazlan,عيون الغزلان,Aakkar,Aakkar,,,6370070.0,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
83,87,53859,Ayyat,عيات,Aakkar,Aakkar,,,(06)361101,,not_found,not_found,candidate_only_until_official_source_page_confirms_value
