union_id,name_en,name_ar,governorate_en,district_en,member_municipality_ids,member_count_estimated,official_website,official_phone,official_email,dglac_source_url,confidence,verification_status,notes,last_updated
UNI-001,Federation of Municipalities of Al-Gharb Al-Ala and Al-Shahar,,Mount Lebanon,Aalay,MUN-DGLAC-50030;MUN-DGLAC-50336;MUN-DGLAC-50084;MUN-DGLAC-50048;MUN-DGLAC-50021;MUN-DGLAC-49949;MUN-DGLAC-50309;MUN-DGLAC-50318;MUN-DGLAC-50201,9,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 9 members.,2026-05-30
UNI-002,Federation of Municipalities of Jourd Al-Ala-Bhamdoun,,Mount Lebanon,Aalay,MUN-DGLAC-49913;MUN-DGLAC-50120;MUN-DGLAC-50129;MUN-DGLAC-49940;MUN-DGLAC-50165;MUN-DGLAC-50345;MUN-DGLAC-50354;MUN-DGLAC-49904,8,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 8 members.,2026-05-30
UNI-003,Federation of Al-Matn Al-Ala Municipalities,,Mount Lebanon,Baabda,MUN-DGLAC-48049;MUN-DGLAC-48123;MUN-DGLAC-48143;MUN-DGLAC-48270;MUN-DGLAC-48290;MUN-DGLAC-48310;MUN-DGLAC-48300;MUN-DGLAC-48380;MUN-DGLAC-48420;MUN-DGLAC-48450;MUN-DGLAC-48330;MUN-DGLAC-48113;MUN-DGLAC-48440;MUN-DGLAC-48480;MUN-DGLAC-48350;MUN-DGLAC-48133;MUN-DGLAC-48340;MUN-DGLAC-48032;MUN-DGLAC-48280;MUN-DGLAC-48470;MUN-DGLAC-48460;MUN-DGLAC-48430;MUN-DGLAC-48173;MUN-DGLAC-48320;MUN-DGLAC-48683;MUN-DGLAC-64833,26,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 26 members.,2026-05-30
UNI-004,Federation of Southern Suburb Municipalities,,Mount Lebanon,Baabda,MUN-DGLAC-48390;MUN-DGLAC-48153;MUN-DGLAC-48059;MUN-DGLAC-48510,4,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 4 members.,2026-05-30
UNI-005,Federation of the Southern Matn Coast Municipalities,,Mount Lebanon,Baabda,MUN-DGLAC-64850;MUN-DGLAC-48163;MUN-DGLAC-48410;MUN-DGLAC-48360,4,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 4 members.,2026-05-30
UNI-006,Federation of Municipalities of Jbeil District,,Mount Lebanon,Byblos,MUN-DGLAC-52089;MUN-DGLAC-52170;MUN-DGLAC-52188;MUN-DGLAC-52152;MUN-DGLAC-52260;MUN-DGLAC-52215;MUN-DGLAC-52278;MUN-DGLAC-52251;MUN-DGLAC-52206;MUN-DGLAC-52107;MUN-DGLAC-52134;MUN-DGLAC-52242;MUN-DGLAC-52143;MUN-DGLAC-52161,14,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 14 members.,2026-05-30
UNI-007,Federation of As-Suwaijani Municipalities,,Mount Lebanon,El Chouf,MUN-DGLAC-51027;MUN-DGLAC-51333;MUN-DGLAC-51270;MUN-DGLAC-51369;MUN-DGLAC-51297;MUN-DGLAC-51459;MUN-DGLAC-51315;MUN-DGLAC-51072;MUN-DGLAC-51234,9,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 9 members.,2026-05-30
UNI-008,Federation of El Chouf El Aala Municipalities,,Mount Lebanon,El Chouf,MUN-DGLAC-51531;MUN-DGLAC-50937;MUN-DGLAC-51099;MUN-DGLAC-51279;MUN-DGLAC-51324;MUN-DGLAC-51000;MUN-DGLAC-51504;MUN-DGLAC-51117;MUN-DGLAC-51018;MUN-DGLAC-51441;MUN-DGLAC-51432;MUN-DGLAC-51054,12,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 12 members.,2026-05-30
UNI-009,Federation of Municipalities of the Northern Al-Kharroub Region,,Mount Lebanon,El Chouf,MUN-DGLAC-51198;MUN-DGLAC-51063;MUN-DGLAC-50964;MUN-DGLAC-51261;MUN-DGLAC-51243;MUN-DGLAC-51450;MUN-DGLAC-51153;MUN-DGLAC-51351;MUN-DGLAC-51549;MUN-DGLAC-51216;MUN-DGLAC-51126;MUN-DGLAC-51252;MUN-DGLAC-51567;MUN-DGLAC-51513;MUN-DGLAC-51009;MUN-DGLAC-51585;MUN-DGLAC-51090,17,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 17 members.,2026-05-30
UNI-010,Federation of Municipalities of the Southern Province of Al-Kharroub,,Mount Lebanon,El Chouf,MUN-DGLAC-51081;MUN-DGLAC-51486;MUN-DGLAC-50982;MUN-DGLAC-51468;MUN-DGLAC-51108;MUN-DGLAC-51207,6,,,,https://www.dglac.gov.lb/en/web/guest/municipal-federations,medium,dglac_extracted,DGLAC extraction 2026-05-30. 6 members.,2026-05-30
