name_ar,name_en,caza_ar,is_municipality,source,added_at
زفتا,Zefta,النبطية,yes,Towns.xlsx,2026-05-31
عين وزين,Aain Ouzain,الشوف,yes,Towns.xlsx,2026-05-31
كنيسة بعبدا,Kneisset Baabda,بعبدا,no,Towns.xlsx,2026-05-31
دليبه,Dlaybeh,بعبدا,no,Towns.xlsx,2026-05-31
الفرديس حاصبيا,Fardis Hasbaiya,حاصبيا,no,Towns.xlsx,2026-05-31
زحلة أراضي,Zahleh Aradi,زحلة,no,Towns.xlsx,2026-05-31
عين عطا,Aain Aata,راشيا,yes,Towns.xlsx,2026-05-31
قره باش,Qarah Bach,زغرتا,yes,Towns.xlsx,2026-05-31
هرمل,Hermel,,no,Towns.xlsx,2026-05-31
تولين,Touline,مرجعيون,yes,Towns.xlsx,2026-05-31
سرعيل,Seraal,زغرتا,no,Towns.xlsx,2026-05-31
بصاليم,Bsalim,المتن,no,Towns.xlsx,2026-05-31
شويا حاصبيا,Chouaya Hasbaiya,حاصبيا,no,Towns.xlsx,2026-05-31
معركة,Maarakeh,صور,yes,Towns.xlsx,2026-05-31
روم,Roum,جزين,yes,Towns.xlsx,2026-05-31
منيارة,Minyara,عكار,yes,Towns.xlsx,2026-05-31
ضبية,Dbayeh,المتن,no,Towns.xlsx,2026-05-31
حيداب,Hidab,جزين,no,Towns.xlsx,2026-05-31
كفر عقا,Kfar Aaqqa,الكورة,no,Towns.xlsx,2026-05-31
قوسايا,Qoussaya,زحلة,yes,Towns.xlsx,2026-05-31
ناعمه,Naameh,الشوف,no,Towns.xlsx,2026-05-31
عين قانا,Aain Qana,النبطية,yes,Towns.xlsx,2026-05-31
مار توما,Mar Touma,عكار,yes,Towns.xlsx,2026-05-31
تلبيرة,Tall Bireh,عكار,yes,Towns.xlsx,2026-05-31
باب مارع,Bab Mareaa,البقاع الغربي,yes,Towns.xlsx,2026-05-31
نفاخية,Neftakhiyeh,صور,no,Towns.xlsx,2026-05-31
حنية,Henniyeh,صور,no,Towns.xlsx,2026-05-31
طيبة بعلبك,Taibet Baalbek,بعلبك,no,Towns.xlsx,2026-05-31
كفر بعال,Kfar Baal,جبيل,no,Towns.xlsx,2026-05-31
ديك المحدي,Dik El-Mehdi,المتن,yes,Towns.xlsx,2026-05-31
بحويتا,Behouaita,المنية الضنية,no,Towns.xlsx,2026-05-31
ميفدون,Mayfadoun,النبطية,yes,Towns.xlsx,2026-05-31
عين الرمانة عاليه,Aain Er-Roummaneh Aaley,عاليه,no,Towns.xlsx,2026-05-31
صوانة جبيل,Souanet Jbeil,جبيل,no,Towns.xlsx,2026-05-31
بتغرين,Bteghrine,المتن,yes,Towns.xlsx,2026-05-31
عانوت,Aanout,الشوف,yes,Towns.xlsx,2026-05-31
مشيلحة الحاكور,Hakour,عكار,yes,Towns.xlsx,2026-05-31
طنبوريت,Tanbourit,صيدا,yes,Towns.xlsx,2026-05-31
إده جبيل,Eddeh Jbeil,جبيل,no,Towns.xlsx,2026-05-31
شاوية,Chaouiyeh,المتن,no,Towns.xlsx,2026-05-31
عيتا الجبل الزط,Aaita Ej-Jabal,بنت جبيل,no,Towns.xlsx,2026-05-31
قلايا,Qelaya,البقاع الغربي,no,Towns.xlsx,2026-05-31
حدث,Hadath Beyrouth,بعبدا,no,Towns.xlsx,2026-05-31
الحميرة عكار,Hmaireh Aakkar,عكار,no,Towns.xlsx,2026-05-31
طير دبه,Tayr Debbeh,صور,no,Towns.xlsx,2026-05-31
بشتفين,Bchtfine,الشوف,yes,Towns.xlsx,2026-05-31
سمقالي,Semmaqli,عكار,no,Towns.xlsx,2026-05-31
خربة شار,Khirbet Char,عكار,yes,Towns.xlsx,2026-05-31
عبادية,Aabadiyeh,بعبدا,no,Towns.xlsx,2026-05-31
الرافد راشيا,Rafid Rachaya,راشيا,no,Towns.xlsx,2026-05-31
المقرق,Moqraq,بعلبك,no,Towns.xlsx,2026-05-31
صغبين,Saghbine,البقاع الغربي,yes,Towns.xlsx,2026-05-31
غينة,Ghineh,كسروان,no,Towns.xlsx,2026-05-31
بسلوقيت,Beslouqit,زغرتا,yes,Towns.xlsx,2026-05-31
وادي الست,Ouadi Es-Sitt,الشوف,yes,Towns.xlsx,2026-05-31
برباره عكار,Berbara Aakkar,عكار,no,Towns.xlsx,2026-05-31
عيتات,Aaytat,عاليه,yes,Towns.xlsx,2026-05-31
عازور,Aazour,جزين,yes,Towns.xlsx,2026-05-31
ناصرية  زحلة,Nasriyet Zahleh,زحلة,no,Towns.xlsx,2026-05-31
عين أبو عبدالله,Aain Abou Abdallah,صور,no,Towns.xlsx,2026-05-31
سكسكية,Saksakiyeh,صيدا,no,Towns.xlsx,2026-05-31
كفرجرا,Kfar Jarra,جزين,no,Towns.xlsx,2026-05-31
القنطرة عكار,Qantarat Aakkar,عكار,no,Towns.xlsx,2026-05-31
شعت,Chaat,بعلبك,yes,Towns.xlsx,2026-05-31
ضهر الاحمر,Dahr El-Ahmar,راشيا,no,Towns.xlsx,2026-05-31
