inventory_id,entity_id,url,status_code,depth,title,page_kind,keyword_hits,language_hint,phone_candidates,email_candidates,form_fields,candidate_source_id,linked_from,source_status,confidence,last_checked,notes
WPI-0001,BMLWE,https://ebml.gov.lb/about.php?lang=en,200,0,EBML | About Us,about,about,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-ABOUT,SRC-BMLWE-ABOUT,existing_source,high,2026-05-31,
WPI-0002,BMLWE,https://ebml.gov.lb/user_ticket.php?lang=en,200,0,,complaint_or_ticket,complaint_or_ticket,unknown,,,,SRC-BMLWE-TICKET,SRC-BMLWE-TICKET,existing_source,high,2026-05-31,
WPI-0003,BMLWE,https://ebml.gov.lb/contactus.php?lang=en,200,0,EBML | Contact Us,contact,contact,en_or_latin,1713;+961 1 386 760,info@ebml.gov.lb,fname|Name*|text;lname|Family Name*|text;phone|Phone Number*|text;address|Address*|text;country|Country*|text;gender|Gender*|text;email|Email*|text;message|Your Message;submit|submit;email|Email Address|text;full_name|Full Name|text;title|Title|text;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-CONTACT,SRC-BMLWE-CONTACT,existing_source,high,2026-05-31,
WPI-0004,BMLWE,https://ebml.gov.lb/faq.php?lang=en,200,0,EBML | Forms,forms_or_documents,forms_or_documents,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FAQ,SRC-BMLWE-FAQ,existing_source,high,2026-05-31,
WPI-0005,BMLWE,https://ebml.gov.lb/forms.php?lang=en,200,0,EBML | Forms,forms_or_documents,forms_or_documents,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FORMS,SRC-BMLWE-FORMS,existing_source,high,2026-05-31,
WPI-0006,BMLWE,https://ebml.gov.lb/about.php?lang=en&lang=ar,200,1,EBML | About Us,about,about,ar,1713,,email|عنوان البريد الإلكتروني|text;submit|submit;full_name|الاسم الكامل|text;title|عنوان|text;message|رسالتك;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-ABOUT-PHP,SRC-BMLWE-ABOUT,low_signal_official_page,low,2026-05-31,
WPI-0007,BMLWE,https://ebml.gov.lb/about.php?lang=en&lang=en,200,1,EBML | About Us,about,about,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-ABOUT-PHP,SRC-BMLWE-ABOUT,low_signal_official_page,low,2026-05-31,
WPI-0008,BMLWE,https://ebml.gov.lb/newsroom.php?lang=en,200,1,EBML | Newsroom,news_or_notice,news_or_notice,ar,1713;1970,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-NEWSROOM-PHP,SRC-BMLWE-ABOUT,low_signal_official_page,low,2026-05-31,
WPI-0009,BMLWE,https://ebml.gov.lb/contactus.php?lang=en&lang=ar,200,1,EBML | Contact Us,contact,contact,ar,1713,info@ebml.gov.lb,fname|اسم*|text;lname|اسم العائلة*|text;phone|رقم الهاتف*|text;address|عنوان*|text;country|بلد*|text;gender|الجنس*|text;email|البريد الإلكتروني*|text;message|رسالتك;submit|submit;email|عنوان البريد الإلكتروني|text;full_name|الاسم الكامل|text;title|عنوان|text;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-CONTACTUS-PHP,SRC-BMLWE-CONTACT,official_candidate,medium,2026-05-31,
WPI-0010,BMLWE,https://ebml.gov.lb/contactus.php?lang=en&lang=en,200,1,EBML | Contact Us,contact,contact,en_or_latin,1713;+961 1 386 760,info@ebml.gov.lb,fname|Name*|text;lname|Family Name*|text;phone|Phone Number*|text;address|Address*|text;country|Country*|text;gender|Gender*|text;email|Email*|text;message|Your Message;submit|submit;email|Email Address|text;full_name|Full Name|text;title|Title|text;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-CONTACTUS-PHP,SRC-BMLWE-CONTACT,official_candidate,medium,2026-05-31,
WPI-0011,BMLWE,https://ebml.gov.lb/,200,1,EBML,forms_or_documents,forms_or_documents;legal_or_mandate;projects_or_irrigation,ar,1713,,email|عنوان البريد الإلكتروني|text;submit|submit;full_name|الاسم الكامل|text;title|عنوان|text;message|رسالتك;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-HOME,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0012,BMLWE,https://ebml.gov.lb/?lang=en,200,1,EBML,forms_or_documents,forms_or_documents;legal_or_mandate;projects_or_irrigation,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-HOME,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0013,BMLWE,https://ebml.gov.lb/bids.php?lang=en,200,1,EBML | Bids,forms_or_documents,forms_or_documents;water_quality;projects_or_irrigation,ar,1713;1978;1572;1973;1707;1000;1428;1431;1372;1442;1441;1440,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-BIDS-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0014,BMLWE,https://ebml.gov.lb/careers.php?lang=en,200,1,Careers | EBML,forms_or_documents,forms_or_documents;legal_or_mandate,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-CAREERS-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0015,BMLWE,https://ebml.gov.lb/faq.php?lang=en&lang=ar,200,1,EBML | Forms,forms_or_documents,forms_or_documents,ar,1713,,email|عنوان البريد الإلكتروني|text;submit|submit;full_name|الاسم الكامل|text;title|عنوان|text;message|رسالتك;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FAQ-PHP,SRC-BMLWE-FAQ,official_candidate,medium,2026-05-31,
WPI-0016,BMLWE,https://ebml.gov.lb/faq.php?lang=en&lang=en,200,1,EBML | Forms,forms_or_documents,forms_or_documents,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FAQ-PHP,SRC-BMLWE-FAQ,official_candidate,medium,2026-05-31,
WPI-0017,BMLWE,https://ebml.gov.lb/forms.php?lang=en&lang=ar,200,1,EBML | Forms,forms_or_documents,forms_or_documents,ar,1713,,email|عنوان البريد الإلكتروني|text;submit|submit;full_name|الاسم الكامل|text;title|عنوان|text;message|رسالتك;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FORMS-PHP,SRC-BMLWE-FORMS,official_candidate,medium,2026-05-31,
WPI-0018,BMLWE,https://ebml.gov.lb/forms.php?lang=en&lang=en,200,1,EBML | Forms,forms_or_documents,forms_or_documents,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-FORMS-PHP,SRC-BMLWE-FORMS,official_candidate,medium,2026-05-31,
WPI-0019,BMLWE,https://ebml.gov.lb/login.php?lang=en,200,1,EBML | Login,forms_or_documents,forms_or_documents;legal_or_mandate,en_or_latin,1713,,email|Email Address|text;password|Password|password;act|hidden;referer|hidden;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden,SRC-BMLWE-LOGIN-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0020,BMLWE,https://ebml.gov.lb/other_pages.php?lang=en&location=Other+%2F+Terms,200,1,EBML | Terms & Conditions,forms_or_documents,forms_or_documents;service_request;legal_or_mandate,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-OTHER-PAGES-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0021,BMLWE,https://ebml.gov.lb/projects.php?lang=en,200,1,EBML | Projects,forms_or_documents,forms_or_documents;legal_or_mandate;projects_or_irrigation,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-PROJECTS-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0022,BMLWE,https://ebml.gov.lb/user_form.php?lang=en,200,1,,forms_or_documents,forms_or_documents,unknown,,,,SRC-BMLWE-USER-FORM-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0023,BMLWE,https://ebml.gov.lb/vision.php?lang=en,200,1,EBML | Vision,forms_or_documents,forms_or_documents;water_quality;legal_or_mandate,en_or_latin,1713,,email|Email Address|text;submit|submit;full_name|Full Name|text;title|Title|text;message|Your Message;formid|hidden;location|hidden;t|hidden;act|hidden,SRC-BMLWE-VISION-PHP,SRC-BMLWE-ABOUT,official_candidate,medium,2026-05-31,
WPI-0024,BWE,https://bwe.gov.lb/en/about/,,0,,about,about,unknown,,,,SRC-BWE-ABOUT,SRC-BWE-ABOUT,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
WPI-0025,BWE,https://bwe.gov.lb/en/contact/,,0,,contact,contact,unknown,,,,SRC-BWE-CONTACT,SRC-BWE-CONTACT,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
WPI-0026,BWE,https://bwe.gov.lb/en/customer-services/,,0,,customer_service,customer_service,unknown,,,,SRC-BWE-CUSTOMER-SERVICE,SRC-BWE-CUSTOMER-SERVICE,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
WPI-0027,BWE,https://bwe.gov.lb/en/customer-services1/,,0,,customer_service,customer_service,unknown,,,,SRC-BWE-FAQ,SRC-BWE-FAQ,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
WPI-0028,BWE,https://bwe.gov.lb/en/home/,,0,,general,,unknown,,,,SRC-BWE-HOME,SRC-BWE-HOME,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
WPI-0029,BWE,https://bwe.gov.lb/en/waterquality/,,0,,water_quality,water_quality,unknown,,,,SRC-BWE-WATER-QUALITY,SRC-BWE-WATER-QUALITY,existing_source,high,2026-05-31,fetch_error=[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1028)
