resolution_id,municipality_id,municipality_key,municipality_name_en,municipality_name_ar,district,governorate,water_entity_id,water_entity_name,branch_service_center_id,branch_service_center_name,branch_service_center_phone,branch_service_center_address,resolution_basis,confidence,source_ids,verification_status,retrieved_date,notes
WER-43597,43597,MUN-DGLAC-43597,,بيروت,Beirut,Beirut,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-BEIRUT-NORTH,Beirut North Department,,Beirut - Ashrafieh - Nassif Rayes Street - near Spinneys,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50201,50201,MUN-DGLAC-50201,Ainab,عيناب,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50021,50021,MUN-DGLAC-50021,Al Bneyeh,البنية,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-49949,49949,MUN-DGLAC-49949,Al Bsatin,البساتين,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50354,50354,MUN-DGLAC-50354,Al Mansouriya Ain al Marj,المنصورية عين المرج,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50345,50345,MUN-DGLAC-50345,Al Mashrefah,المشرفة,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-49904,49904,MUN-DGLAC-49904,Batater,بتاتر,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-50030,50030,MUN-DGLAC-50030,Baysour,بيصور,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-49940,49940,MUN-DGLAC-49940,Bdeghan,بدغان,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
WER-49913,49913,MUN-DGLAC-49913,Bhamdoun Al Dayaa,بحمدون الضيعة,Aalay,Mount Lebanon,BMLWE,Beirut and Mount Lebanon Water Establishment,BMLWE-COAST-METN,Coast of Metn Department,,Borj Hammoud - St. Joseph Street,municipality_service_mapping_plus_branch_hint,medium_high,SRC-BMLWE-ABOUT;SRC-BMLWE-CONTACT,source_backed_entity_scope_branch_hint,2026-05-31,Entity resolved from municipality_service_mappings.csv; branch is a district/service-area hint and should not override exact office instructions.
