scenario_id,transformer_kva,base_load_kw,feeder_length_km,cable_type,r1,x1,r0,x0,phase_balance_class,num_chargers_installed,num_chargers_active,charger_power_kw,total_active_power_kw,total_reactive_power_kvar,total_losses_kw,transformer_loading_pct,parkingbus_voltage_kv,min_bus_voltage_pu,overload_flag,undervoltage_flag,compatibility_class,recommended_max_active_chargers,recommended_max_power_per_charger_kw,charger_total_kw,load_ratio
case_000001,100,20,0.05,C_weak,0.35,0.12,0.7,0.24,balanced,20,20,22.0,421.346,172.361,31.102,421.346,0.200715,0.86912,1,1,not_compatible,2,0.0,440.0,4.21346
case_000002,500,50,0.05,C_weak,0.35,0.12,0.7,0.24,balanced,10,9,50.0,509.172,135.339,32.588,101.834,0.213675,0.925241,1,1,not_compatible,3,22.0,450.0,1.0183440000000001
case_000003,500,80,0.05,C_weak,0.35,0.12,0.7,0.24,balanced,40,20,11.0,312.319,83.289,12.319,62.464,0.219687,0.951275,0,0,compatible,21,11.0,220.0,0.624638
case_000004,160,180,1.0,B_medium,0.2,0.08,0.4,0.16,balanced,20,14,22.0,276.573,107.003,112.275,172.858,0.129107,0.559051,1,1,not_compatible,0,0.0,308.0,1.72858125
case_000005,100,20,1.0,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,30,29,22.0,358.363,174.909,118.626,358.363,0.104102,0.450777,1,1,not_compatible,0,0.0,638.0,3.58363
case_000006,500,180,0.05,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,30,30,7.4,411.307,124.37,14.848,82.261,0.215778,0.934348,0,1,conditional,17,3.7,222.0,0.8226140000000001
case_000007,160,120,0.05,A_strong,0.1,0.05,0.2,0.1,balanced,30,27,11.0,422.988,152.053,11.368,264.368,0.217413,0.941426,1,1,not_compatible,0,0.0,297.0,2.643675
case_000008,250,250,1.0,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,14,22.0,225.819,78.576,127.315,90.328,0.077132,0.333993,0,1,not_compatible,0,0.0,308.0,0.903276
case_000009,100,250,0.2,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,18,11.0,343.352,154.848,69.461,343.352,0.161376,0.698777,1,1,not_compatible,0,0.0,198.0,3.4335199999999997
case_000010,160,20,0.5,A_strong,0.1,0.05,0.2,0.1,mildly_unbalanced,10,6,11.0,87.008,23.79,3.92,54.38,0.212569,0.920452,0,1,conditional,4,3.7,66.0,0.5438
case_000011,500,80,0.5,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,40,24,50.0,778.357,295.637,251.43,155.671,0.114118,0.494147,1,1,not_compatible,0,0.0,1200.0,1.556714
case_000012,160,50,0.5,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,40,36,50.0,498.714,221.086,335.477,311.696,0.049079,0.212517,1,1,not_compatible,0,0.0,1800.0,3.1169625
case_000013,400,250,0.05,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,20,16,7.4,375.217,125.095,6.817,93.804,0.221943,0.96104,0,0,conditional,8,3.7,118.4,0.9380425
case_000014,500,180,0.05,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,40,20,50.0,1081.84,378.259,113.034,216.368,0.185658,0.803922,1,1,not_compatible,1,3.7,1000.0,2.16368
case_000015,100,120,0.5,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,10,5,22.0,177.205,65.242,42.02,177.205,0.154606,0.669465,1,1,not_compatible,0,0.0,110.0,1.7720500000000001
case_000016,250,50,0.2,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,30,19,7.4,182.326,51.863,19.922,72.93,0.190495,0.824866,0,1,not_compatible,1,0.0,140.6,0.729304
case_000017,250,80,0.2,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,30,24,7.4,241.045,71.647,30.188,96.418,0.189237,0.819419,0,1,not_compatible,0,0.0,177.60000000000002,0.9641799999999999
case_000018,160,20,0.05,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,10,9,7.4,87.24,22.95,0.64,54.525,0.226327,0.980025,0,0,compatible,10,11.0,66.60000000000001,0.54525
case_000019,160,180,0.2,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,16,50.0,591.375,260.222,198.263,369.609,0.1233,0.533903,1,1,not_compatible,0,0.0,800.0,3.69609375
case_000020,160,180,0.2,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,36,22.0,566.091,249.454,190.428,353.807,0.112654,0.487806,1,1,not_compatible,0,0.0,792.0,3.53806875
case_000021,400,180,0.05,A_strong,0.1,0.05,0.2,0.1,mildly_unbalanced,10,6,11.0,248.967,80.793,2.967,62.242,0.225111,0.974757,0,0,compatible,10,22.0,66.0,0.6224175000000001
case_000022,500,20,0.2,A_strong,0.1,0.05,0.2,0.1,balanced,10,7,7.4,72.567,17.91,0.767,14.513,0.227307,0.984268,0,0,compatible,10,22.0,51.800000000000004,0.14513399999999999
case_000023,100,180,0.2,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,20,19,50.0,609.516,382.054,166.634,609.516,0.112393,0.486674,1,1,not_compatible,0,0.0,950.0,6.09516
case_000024,400,120,0.2,B_medium,0.2,0.08,0.4,0.16,balanced,20,15,50.0,710.182,236.422,145.724,177.545,0.178295,0.772038,1,1,not_compatible,0,0.0,750.0,1.775455
case_000025,400,80,1.0,B_medium,0.2,0.08,0.4,0.16,balanced,10,5,7.4,107.279,34.011,16.068,26.82,0.192424,0.833219,0,1,not_compatible,0,0.0,37.0,0.2681975
case_000026,160,120,0.2,A_strong,0.1,0.05,0.2,0.1,mildly_unbalanced,20,13,50.0,634.062,287.779,80.262,396.289,0.171274,0.741638,1,1,not_compatible,0,0.0,650.0,3.9628875
case_000027,100,120,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,10,7,7.4,119.735,43.42,36.983,119.735,0.139427,0.603736,1,1,not_compatible,0,0.0,51.800000000000004,1.19735
case_000028,160,120,0.2,B_medium,0.2,0.08,0.4,0.16,balanced,40,30,50.0,906.479,507.349,296.966,566.549,0.138474,0.599609,1,1,not_compatible,0,0.0,1500.0,5.66549375
case_000029,400,250,0.05,B_medium,0.2,0.08,0.4,0.16,mildly_unbalanced,40,37,22.0,995.866,360.88,88.032,248.966,0.193332,0.83715,1,1,not_compatible,2,0.0,814.0,2.489665
case_000030,400,180,0.2,A_strong,0.1,0.05,0.2,0.1,balanced,20,10,22.0,404.587,128.028,24.48,101.147,0.211528,0.915943,1,1,not_compatible,3,3.7,220.0,1.0114675
case_000031,250,120,0.05,A_strong,0.1,0.05,0.2,0.1,balanced,20,20,50.0,1039.923,436.194,60.364,415.969,0.203969,0.88321,1,1,not_compatible,1,3.7,1000.0,4.159692
case_000032,160,180,0.05,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,13,7.4,279.412,102.094,12.198,174.632,0.212551,0.920373,1,1,not_compatible,0,0.0,96.2,1.746325
case_000033,500,180,0.05,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,30,7.4,407.648,123.12,23.797,81.53,0.208789,0.904082,0,1,conditional,6,0.0,222.0,0.815296
case_000034,250,250,0.2,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,20,22.0,505.462,184.33,134.456,202.185,0.148782,0.644246,1,1,not_compatible,0,0.0,440.0,2.021848
case_000035,250,250,1.0,B_medium,0.2,0.08,0.4,0.16,mildly_unbalanced,10,7,7.4,212.648,79.403,65.467,85.059,0.149989,0.649473,0,1,not_compatible,0,0.0,51.800000000000004,0.850592
case_000036,100,120,0.2,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,20,16,22.0,357.35,152.329,74.909,357.35,0.156296,0.676781,1,1,not_compatible,0,0.0,352.0,3.5735
case_000037,250,180,0.2,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,10,7,22.0,314.555,108.763,33.342,125.822,0.190526,0.825001,1,1,not_compatible,0,0.0,154.0,1.2582200000000001
case_000038,160,50,0.5,A_strong,0.1,0.05,0.2,0.1,mildly_unbalanced,20,15,7.4,161.449,49.121,10.576,100.906,0.205481,0.889759,1,1,not_compatible,4,0.0,111.0,1.00905625
case_000039,160,120,0.5,C_weak,0.35,0.12,0.7,0.24,balanced,30,23,50.0,454.755,191.41,272.544,284.222,0.084741,0.366938,1,1,not_compatible,0,0.0,1150.0,2.84221875
case_000040,100,250,0.05,B_medium,0.2,0.08,0.4,0.16,balanced,30,27,11.0,482.465,241.54,29.85,482.465,0.200146,0.866657,1,1,not_compatible,0,0.0,297.0,4.82465
case_000041,500,80,0.05,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,20,19,7.4,223.193,60.892,2.593,44.639,0.225235,0.975296,0,0,compatible,20,11.0,140.6,0.446386
case_000042,500,20,0.2,B_medium,0.2,0.08,0.4,0.16,mildly_unbalanced,10,7,11.0,100.198,24.516,3.526,20.04,0.217946,0.943733,0,1,conditional,5,7.4,77.0,0.200396
case_000043,160,180,0.2,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,30,30,7.4,331.384,123.335,61.591,207.115,0.165795,0.717912,1,1,not_compatible,0,0.0,222.0,2.0711500000000003
case_000044,160,80,0.2,A_strong,0.1,0.05,0.2,0.1,balanced,40,33,11.0,424.182,152.307,30.477,265.114,0.206781,0.895386,1,1,not_compatible,4,0.0,363.0,2.6511375
case_000045,160,120,0.5,A_strong,0.1,0.05,0.2,0.1,balanced,40,31,7.4,316.796,114.641,38.344,197.997,0.195004,0.844393,1,1,not_compatible,0,0.0,229.4,1.979975
case_000046,400,180,0.5,B_medium,0.2,0.08,0.4,0.16,balanced,20,16,11.0,296.304,96.512,61.751,74.076,0.17692,0.766087,0,1,not_compatible,0,0.0,176.0,0.74076
case_000047,250,250,0.05,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,40,33,22.0,854.744,369.59,82.212,341.898,0.181641,0.786528,1,1,not_compatible,0,0.0,726.0,3.4189760000000002
case_000048,100,120,0.05,B_medium,0.2,0.08,0.4,0.16,balanced,30,26,11.0,385.133,162.483,17.94,385.133,0.207971,0.900539,1,1,not_compatible,0,0.0,286.0,3.85133
case_000049,250,20,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,33,7.4,148.705,43.501,58.504,59.482,0.099277,0.429881,0,1,not_compatible,0,0.0,244.20000000000002,0.59482
case_000050,100,250,0.2,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,10,9,50.0,479.057,260.075,96.981,479.057,0.142501,0.617048,1,1,not_compatible,0,0.0,450.0,4.79057
case_000051,100,80,0.5,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,40,37,22.0,366.911,166.663,187.67,366.911,0.078888,0.341597,1,1,not_compatible,0,0.0,814.0,3.66911
case_000052,160,120,0.2,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,20,18,50.0,640.248,309.71,165.739,400.155,0.123821,0.536161,1,1,not_compatible,0,0.0,900.0,4.00155
case_000053,100,180,0.5,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,40,35,11.0,353.102,164.172,106.384,353.102,0.125197,0.542119,1,1,not_compatible,0,0.0,385.0,3.53102
case_000054,400,20,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,29,11.0,172.389,49.924,76.397,43.097,0.087533,0.379031,0,1,not_compatible,0,0.0,319.0,0.43097250000000004
case_000055,500,120,0.5,A_strong,0.1,0.05,0.2,0.1,balanced,30,21,11.0,332.353,100.675,38.657,66.471,0.201108,0.870825,0,1,not_compatible,0,0.0,231.0,0.664706
case_000056,100,250,0.2,B_medium,0.2,0.08,0.4,0.16,mildly_unbalanced,40,31,7.4,390.92,185.829,55.696,390.92,0.175302,0.759081,1,1,not_compatible,0,0.0,229.4,3.9092000000000002
case_000057,400,120,1.0,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,20,20,11.0,225.68,73.451,74.406,56.42,0.127095,0.550338,0,1,not_compatible,0,0.0,220.0,0.5642
case_000058,400,20,0.2,A_strong,0.1,0.05,0.2,0.1,heavily_unbalanced,10,8,50.0,382.631,117.059,41.368,95.658,0.189944,0.82248,0,1,not_compatible,1,11.0,400.0,0.9565775
case_000059,160,250,1.0,C_weak,0.35,0.12,0.7,0.24,heavily_unbalanced,40,34,22.0,264.664,101.891,180.12,165.415,0.043962,0.190361,1,1,not_compatible,0,0.0,748.0,1.65415
case_000060,500,250,1.0,A_strong,0.1,0.05,0.2,0.1,mildly_unbalanced,40,32,50.0,714.12,313.616,390.127,142.824,0.074838,0.324057,1,1,not_compatible,0,0.0,1600.0,1.42824
case_000061,500,80,1.0,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,30,22,11.0,176.985,52.815,76.862,35.397,0.103773,0.449351,0,1,not_compatible,0,0.0,242.0,0.35397
case_000062,250,250,0.5,B_medium,0.2,0.08,0.4,0.16,balanced,20,12,7.4,280.459,102.56,57.171,112.183,0.180048,0.779631,1,1,not_compatible,0,0.0,88.80000000000001,1.121836
case_000063,160,20,0.05,B_medium,0.2,0.08,0.4,0.16,heavily_unbalanced,30,21,50.0,811.718,430.194,94.507,507.324,0.160426,0.694665,1,1,not_compatible,1,3.7,1050.0,5.073237499999999
case_000064,400,80,1.0,C_weak,0.35,0.12,0.7,0.24,mildly_unbalanced,40,29,7.4,169.616,50.961,70.29,42.404,0.112139,0.485575,0,1,not_compatible,0,0.0,214.60000000000002,0.42404000000000003
case_000065,400,120,1.0,C_weak,0.35,0.12,0.7,0.24,balanced,40,20,11.0,185.919,57.592,83.297,46.48,0.123474,0.534658,0,1,not_compatible,0,0.0,220.0,0.46479750000000003
